Source,Target,Weight,freqT1,freqT2,times,timesT1,timesT2
1457,337,2,0,2,22,NULL,18
1023,1600,10,5,7,174,61,75
1509,417,1,0,0,6,NULL,NULL
1611,2017,1,0,0,6,NULL,NULL
553,1417,1,0,0,6,NULL,NULL
1145,1747,2,1,2,28,11,16
1487,691,1,1,0,6,6,NULL
629,355,1,1,0,11,6,NULL
1539,1555,1,1,0,7,6,NULL
863,863,136,73,50,3664,1826,778
1978,550,1,0,1,17,NULL,16
1609,25,1,0,0,13,NULL,NULL
2289,842,1,0,1,43,NULL,28
1228,871,1,0,0,6,NULL,NULL
2010,2292,1,1,0,11,7,NULL
1205,620,1,0,0,6,NULL,NULL
725,2271,1,1,1,32,14,13
2242,1435,2,1,0,12,6,NULL
1134,520,10,3,5,175,53,49
2014,582,1,0,0,6,NULL,NULL
1880,1119,1,0,0,6,NULL,NULL
1144,515,1,0,0,7,NULL,NULL
264,616,1,1,1,24,16,8
577,481,1,0,0,6,NULL,NULL
2119,1155,9,2,0,103,43,NULL
1283,923,1,1,0,7,7,NULL
1492,319,11,5,6,189,96,62
2288,2,1,0,0,8,NULL,NULL
1828,17,1,0,0,6,NULL,NULL
135,704,1,1,0,7,7,NULL
1781,95,1,1,0,14,14,NULL
694,293,1,0,1,6,NULL,6
1174,869,4,4,2,62,43,16
2260,37,3,3,1,55,33,9
1574,564,3,0,0,23,NULL,NULL
1437,585,1,0,0,7,NULL,NULL
22,1100,1,1,0,6,6,NULL
1162,694,1,0,0,6,NULL,NULL
688,1216,2,0,2,17,NULL,14
1216,1738,1,0,0,8,NULL,NULL
1022,554,1,0,0,6,NULL,NULL
830,1121,1,0,0,6,NULL,NULL
1611,391,1,0,0,6,NULL,NULL
1437,1996,1,0,0,7,NULL,NULL
556,682,1,0,1,7,NULL,7
1202,1435,1,0,1,7,NULL,6
2128,917,9,4,3,74,26,19
1216,327,1,0,1,15,NULL,14
76,106,15,1,3,143,6,33
1228,2076,2,2,1,19,12,6
1548,1523,1,0,1,16,NULL,7
1454,1172,1,1,0,7,6,NULL
2242,230,3,1,0,67,38,NULL
1248,646,2,0,0,13,NULL,NULL
1983,104,6,1,3,59,13,22
22,104,1,0,0,7,NULL,NULL
2037,1749,4,1,0,27,6,NULL
2005,1218,1,0,1,6,NULL,6
415,409,1,0,0,6,NULL,NULL
429,689,1,0,0,6,NULL,NULL
1545,1448,1,0,0,6,NULL,NULL
1421,1141,3,1,1,43,27,7
866,340,1,0,0,6,NULL,NULL
2149,908,2,2,1,38,19,18
17,267,1,1,0,10,8,NULL
1121,1661,1,0,0,8,NULL,NULL
902,1978,1,1,1,31,8,22
229,262,1,0,1,7,NULL,7
1882,646,1,0,0,6,NULL,NULL
3,1558,1,0,0,6,NULL,NULL
877,966,1,0,0,6,NULL,NULL
409,2142,1,0,0,6,NULL,NULL
1813,1021,1,0,0,7,NULL,NULL
1447,1301,1,0,0,7,NULL,NULL
439,1414,1,0,0,7,NULL,NULL
2014,1166,1,1,0,6,6,NULL
1166,1801,1,0,0,6,NULL,NULL
2052,1226,1,0,0,7,NULL,NULL
1274,1459,1,1,1,34,12,11
1422,438,2,0,0,12,NULL,NULL
526,703,7,2,5,145,92,40
999,240,3,0,0,19,NULL,NULL
1172,1164,1,0,0,7,NULL,NULL
2135,1541,1,1,0,7,7,NULL
2101,1975,1,0,0,8,NULL,NULL
550,1817,2,1,0,12,6,NULL
1007,1466,1,0,0,6,NULL,NULL
863,2014,1,0,0,6,NULL,NULL
620,1177,5,1,2,51,8,16
2070,1142,1,0,0,6,NULL,NULL
577,298,1,0,0,6,NULL,NULL
2032,867,2,0,0,14,NULL,NULL
1850,1140,1,0,0,6,NULL,NULL
580,2271,2,0,0,13,NULL,NULL
1978,1157,1,0,1,6,NULL,6
1788,1171,1,1,0,9,6,NULL
703,2067,1,0,1,7,NULL,6
2139,2058,1,1,0,7,6,NULL
1461,877,17,1,4,181,30,46
1996,835,1,1,0,6,6,NULL
2294,2076,1,0,0,6,NULL,NULL
249,853,2,0,1,13,NULL,6
1996,2063,1,0,1,7,NULL,6
635,1576,1,1,1,87,18,54
1421,1971,1,1,1,29,13,9
82,972,1,1,0,6,6,NULL
2010,42,14,9,4,241,112,54
61,526,1,0,1,6,NULL,6
999,1030,15,6,5,311,115,109
1583,2152,1,0,1,10,NULL,8
682,1146,1,0,0,7,NULL,NULL
2083,70,16,15,0,309,270,NULL
276,854,1,0,0,8,NULL,NULL
526,1539,1,0,0,6,NULL,NULL
457,1722,1,0,0,6,NULL,NULL
1850,1747,1,0,1,9,NULL,9
1138,1421,1,0,0,7,NULL,NULL
409,353,1,0,0,7,NULL,NULL
2267,240,5,0,0,32,NULL,NULL
1464,25,1,0,0,10,NULL,NULL
123,1677,1,0,1,7,NULL,6
1826,633,1,0,0,6,NULL,NULL
1843,662,1,0,0,6,NULL,NULL
357,2108,1,0,0,6,NULL,NULL
1868,1425,1,0,0,6,NULL,NULL
2271,580,2,0,0,15,NULL,NULL
2111,2262,3,1,1,35,7,7
1413,138,1,0,0,7,NULL,NULL
1791,4,2,1,0,19,7,NULL
543,1545,1,0,0,6,NULL,NULL
1858,348,1,0,0,7,NULL,NULL
1228,1163,1,0,0,6,NULL,NULL
668,342,1,1,0,7,7,NULL
1749,417,1,0,0,6,NULL,NULL
1216,1824,1,0,0,7,NULL,NULL
1753,336,1,0,1,13,NULL,12
143,1661,1,0,0,7,NULL,NULL
2149,1738,1,0,0,6,NULL,NULL
319,419,1,0,0,6,NULL,NULL
1590,589,1,0,0,6,NULL,NULL
1141,248,1,1,0,6,6,NULL
402,396,2,2,0,12,12,NULL
230,2161,1,0,1,13,NULL,7
631,429,1,0,0,6,NULL,NULL
1831,353,1,0,0,6,NULL,NULL
1830,1548,1,0,0,7,NULL,NULL
2,910,4,3,3,96,45,41
917,2122,1,0,1,6,NULL,6
1801,285,8,2,6,269,114,102
6,1828,1,0,0,6,NULL,NULL
2270,2007,1,1,0,6,6,NULL
327,2069,6,1,2,52,7,14
2292,611,1,1,0,20,16,NULL
2293,1013,1,0,0,7,NULL,NULL
1290,688,1,0,0,7,NULL,NULL
235,255,1,0,0,6,NULL,NULL
2104,101,1,0,0,6,NULL,NULL
2017,2017,224,87,113,4036,1150,1803
589,865,1,0,0,6,NULL,NULL
1426,1539,1,0,0,6,NULL,NULL
336,348,1,1,1,34,15,19
999,1843,1,0,0,6,NULL,NULL
1204,281,1,0,0,6,NULL,NULL
1400,420,1,0,1,7,NULL,7
910,1169,2,0,0,12,NULL,NULL
1214,1172,1,0,0,7,NULL,NULL
393,703,4,2,1,44,17,7
1012,1455,1,1,0,10,10,NULL
862,1214,1,0,0,8,NULL,NULL
1159,1160,1,1,0,8,7,NULL
1598,1217,1,0,0,6,NULL,NULL
1983,250,5,1,1,43,9,7
2036,1184,1,1,1,52,36,13
2268,1541,1,0,0,7,NULL,NULL
1838,1409,3,1,1,23,7,6
1151,1531,1,0,0,6,NULL,NULL
1539,2122,1,0,0,26,NULL,NULL
2271,1785,1,0,0,6,NULL,NULL
520,550,1,0,0,7,NULL,NULL
1750,1509,1,0,0,6,NULL,NULL
2139,621,1,0,0,8,NULL,NULL
1317,5,1,1,0,9,9,NULL
1849,240,4,1,0,28,6,NULL
1972,2000,1,0,0,6,NULL,NULL
1422,17,2,0,1,15,NULL,6
346,1442,1,0,0,6,NULL,NULL
1781,533,2,2,0,18,18,NULL
