Id,enrollYear,nStu,nTrans,nTransDate
590,2014,21,10219,286
604,2011,20,14993,285
609,NULL,3,87,20
610,2013,24,14641,292
611,2014,22,19593,285
612,2014,29,25475,291
613,2012,26,11623,310
615,NULL,1,107,28
616,2011,15,7106,282
620,2014,26,22108,285
621,2012,21,14370,305
624,2014,24,12462,294
625,NULL,1,514,180
629,2014,29,22945,297
631,2012,17,8104,307
633,2014,24,22557,297
635,2013,26,19924,304
636,NULL,1,202,44
639,2012,19,14144,309
641,2013,25,20622,309
645,2012,21,7392,306
646,2014,31,26380,287
651,2011,29,19962,298
653,2014,33,16031,293
655,NULL,8,3359,280
656,2013,26,17493,304
658,2014,23,9172,279
661,2012,26,16520,308
662,2012,32,28130,291
664,2012,25,19114,306
665,2012,31,21196,310
666,2011,18,2867,310
668,2013,35,13280,294
675,NULL,3,285,39
677,2012,23,17650,310
678,NULL,1,82,32
679,2014,28,20701,288
680,2014,17,14475,286
682,2011,29,16962,286
687,2013,25,19980,309
688,2012,32,20257,310
689,2013,25,8643,302
691,2013,31,18874,287
694,2013,27,14381,302
697,NULL,1,17,9
702,2011,14,4081,283
703,2011,30,20602,277
704,2011,28,15880,307
707,2013,14,4420,287
711,2013,19,8605,281
712,2011,30,21847,306
715,2014,13,7034,282
716,2011,22,11961,310
718,2013,27,17781,298
725,2014,19,16687,297
774,NULL,1,1,1
799,NULL,4,208,31
804,NULL,1,18,12
812,NULL,4,472,124
813,NULL,1,63,27
814,NULL,6,1037,132
815,NULL,7,599,33
816,2011,22,12672,300
817,NULL,1,143,52
822,NULL,6,2239,268
825,2011,14,11096,307
826,2012,20,16355,278
827,NULL,2,269,34
830,2012,31,14847,301
832,2011,22,14431,281
834,2011,21,12300,301
835,NULL,11,7588,303
836,2011,19,13120,283
838,NULL,5,2383,282
839,2013,30,23236,300
841,2012,19,10298,281
842,2012,16,9440,310
843,NULL,9,3486,281
844,2011,20,16383,310
845,NULL,1,30,10
846,NULL,8,4799,285
847,NULL,4,2280,263
848,2014,22,19768,290
849,2013,20,14925,304
850,2012,27,15127,309
851,NULL,2,2284,277
853,2014,29,29206,297
854,2014,19,12700,289
858,2014,32,30231,285
860,2013,16,14359,299
861,NULL,2,124,45
862,2014,26,26563,297
863,2014,22,19178,299
864,2013,23,20092,309
865,NULL,2,678,203
866,2013,16,7690,286
867,2014,19,10864,283
868,2013,22,17453,266
869,NULL,1,609,183
870,NULL,1,405,151
871,2014,26,30317,297
872,NULL,1,151,59
873,NULL,8,295,91
874,2014,20,18403,293
875,2013,25,15915,287
876,2014,17,5152,277
877,2014,19,8618,280
878,NULL,1,822,189
879,NULL,1,807,227
880,NULL,1,825,236
881,NULL,1,447,105
882,NULL,1,1416,227
883,NULL,1,527,188
884,NULL,1,657,204
899,NULL,2,97,39
900,NULL,2,162,26
902,2012,19,13993,305
904,2011,24,5941,282
907,2011,17,4775,272
908,2012,25,8373,299
909,NULL,2,282,72
910,2011,19,9616,291
915,2011,34,9616,298
916,NULL,1,341,128
917,2014,24,21375,285
919,NULL,1,77,25
920,NULL,1,37,22
921,2014,30,26911,285
923,2013,23,14694,299
937,2012,19,8060,307
938,NULL,1,7,2
946,2013,27,19502,304
953,2014,13,10555,284
959,2012,34,13538,307
960,2013,37,17770,311
961,NULL,1,264,77
963,NULL,3,164,34
964,NULL,1,57,14
965,2011,18,11765,307
966,2011,32,14259,315
967,2011,16,4636,304
968,2012,20,9420,267
970,NULL,11,6604,288
972,2012,23,17976,305
973,2012,32,22672,300
974,2012,28,19652,308
978,2011,18,839,192
980,2014,31,22598,296
984,2013,27,16645,309
988,2012,29,18113,305
989,2011,16,1348,239
992,2014,30,23937,290
995,2014,22,17101,294
998,NULL,18,3925,299
999,2014,30,14697,293
1000,2012,24,16834,303
1002,2011,27,13379,279
1004,2013,32,22246,304
1007,2011,27,14342,299
1012,NULL,2,499,120
1013,NULL,10,5640,279
1014,2012,19,9909,300
1016,2014,31,24264,292
1017,2014,14,7725,280
1021,2013,27,19398,305
1022,2011,19,10623,275
1023,2013,33,26280,300
1024,2011,25,18131,306
1030,2014,21,9139,285
1031,NULL,6,451,139
1033,2012,22,10788,306
1042,NULL,1,72,22
1068,2014,20,17673,297
1077,NULL,1,150,61
1082,NULL,2,5,3
1096,NULL,2,251,32
1100,NULL,3,355,89
1101,NULL,4,315,33
1114,NULL,4,389,125
1116,NULL,20,914,48
1119,2011,29,13347,310
1121,2011,34,19026,297
1122,NULL,25,10773,278
1123,NULL,2,91,29
1126,NULL,11,4276,191
1127,NULL,16,5413,310
1128,NULL,1,252,101
1130,NULL,13,1910,241
1131,NULL,4,603,213
1134,2011,33,18237,283
1136,2011,31,25894,310
1137,2011,17,9955,309
1138,2011,14,8421,309
1139,2011,25,16224,307
1140,2011,25,17006,306
1141,2011,23,13164,305
1142,2014,32,25747,286
1143,2012,17,9286,300
1144,2012,20,8119,307
1145,NULL,5,3730,304
1146,2011,25,16923,305
1147,NULL,1,28,10
1148,2012,18,3338,273
1149,NULL,9,2560,303
1150,2012,24,18460,304
1151,2012,24,17411,300
1152,2011,12,5022,266
1154,NULL,2,675,208
1155,2014,30,24319,295
1156,2012,22,11140,300
1157,2012,14,9736,301
1158,2011,15,7439,263
1159,2013,46,35638,308
1160,2013,20,16577,305
1162,2013,31,22428,299
1163,2013,24,20590,309
1164,2013,20,14790,307
1165,2014,25,25349,285
1166,2014,12,9381,295
1167,2014,22,17012,284
1168,NULL,7,6825,289
1169,2014,18,17537,289
1170,2013,13,8272,290
1171,NULL,8,3900,282
1172,2014,30,27489,292
1173,2014,19,9660,281
1174,2013,22,17612,252
1176,2014,18,9531,299
1177,2014,32,29518,301
1178,2013,24,13289,259
1179,2014,13,9384,286
1180,2014,23,19684,297
1181,2014,28,11848,297
1182,NULL,1,240,83
1183,NULL,2,1537,278
1184,NULL,4,2783,241
1186,NULL,1,907,183
1187,NULL,1,520,210
1199,NULL,3,45,20
1202,2011,19,10897,275
1203,NULL,9,3494,284
1204,2013,24,15068,300
1205,2013,21,16070,289
1208,2013,18,6869,296
1212,NULL,5,76,24
1214,2014,15,12729,293
1215,NULL,1,51,19
1216,2014,25,20002,287
1217,2014,30,26568,297
1218,2012,32,14177,307
1223,2011,16,9602,278
1225,2013,24,15146,290
1226,2013,30,21720,301
1227,2014,21,20157,283
1228,2013,25,21896,310
1232,2014,18,16892,302
1233,2011,23,11148,283
1239,NULL,3,322,113
1243,2014,21,9205,284
1246,2012,24,14796,310
1248,2014,16,13349,288
1251,NULL,1,51,10
1253,NULL,1,358,142
1255,2011,27,19990,306
1256,NULL,1,162,32
1257,2014,30,26475,297
1259,2012,20,11427,309
1262,2013,20,8372,283
1266,2012,35,16064,305
1268,NULL,9,585,113
1273,2012,24,5722,278
1274,2014,21,9078,289
1281,NULL,1,225,89
1283,2013,33,22375,309
1287,NULL,2,223,106
1290,2012,24,13726,311
1291,2014,22,20033,291
1293,NULL,2,1488,216
1296,2013,11,9455,296
1301,2011,34,16804,283
1302,2012,31,20713,307
1304,NULL,3,363,34
1308,NULL,2,81,38
1314,2014,14,10262,287
1315,NULL,1,21,9
1317,2012,20,9435,308
1325,2014,30,23971,290
1365,NULL,1,1378,234
1373,NULL,3,494,120
1382,2011,16,8686,273
1384,NULL,3,252,32
1386,NULL,1,10,4
1387,NULL,9,605,34
1388,NULL,2,43,12
1389,NULL,2,5,3
1391,NULL,1,725,104
1392,NULL,6,2010,231
1393,2011,20,9308,274
1394,2012,32,20417,309
1398,2011,22,10139,295
1399,2012,34,21874,304
1400,2012,20,12793,300
1401,2012,30,22905,309
1404,NULL,2,127,27
1406,2011,24,12841,282
1408,NULL,10,5105,299
1409,2012,32,18989,290
1410,2011,33,23162,309
1413,2011,16,7780,289
1414,2011,26,13519,304
1416,2011,17,9489,292
1417,2011,15,7881,281
1419,NULL,3,490,129
1421,2012,21,10233,298
1422,2012,26,15777,302
1423,NULL,2,993,171
1424,2012,12,11250,286
1425,2012,20,10466,275
1426,2011,24,12545,283
1427,NULL,3,2960,292
1429,2012,12,7675,310
1430,2013,21,16342,305
1431,2011,23,12347,287
1433,2014,38,28557,292
1435,2012,25,18039,303
1436,2013,26,22324,309
1437,2013,44,35635,305
1438,2014,21,21661,294
1439,NULL,5,4134,278
1440,NULL,9,919,222
1441,NULL,2,455,177
1442,2013,25,20813,302
1443,NULL,1,225,120
1445,2013,20,12559,294
1446,2013,32,21362,292
1447,2013,27,21224,308
1448,2014,26,26187,290
1449,2013,33,15246,306
1450,NULL,4,3463,288
1451,NULL,7,3087,224
1453,2014,16,11779,288
1454,2013,17,12195,309
1455,2013,26,20357,262
1456,NULL,3,2570,244
1457,2013,19,15105,245
1459,2014,19,9725,292
1460,2014,31,29577,296
1461,2014,18,8502,284
1462,NULL,4,91,37
1463,NULL,1,1253,261
1464,2013,17,11111,286
1466,2011,25,19595,277
1467,NULL,1,294,97
1478,NULL,4,230,57
1481,2011,15,5533,271
1482,2014,24,18139,296
1487,2011,29,15160,278
1490,2012,22,13300,307
1491,NULL,8,211,73
1492,2012,20,8204,294
1494,2013,23,18266,309
1495,2012,22,11504,298
1497,2011,19,6918,297
1499,2011,20,11143,280
1501,2013,27,13823,306
1503,2013,27,21312,309
1507,2012,33,17159,309
1509,2014,28,24280,298
1511,NULL,5,423,116
1516,2013,24,15655,294
1517,2013,28,18368,296
1518,2014,26,22082,289
1519,NULL,9,6733,297
1522,NULL,7,957,145
1523,2014,21,10756,283
1528,2012,17,6494,306
1530,2013,16,11837,308
1531,2011,23,12282,310
1534,NULL,22,13199,276
1535,2014,20,10109,283
1537,NULL,5,396,124
1539,2013,23,19372,310
1541,2012,23,18233,310
1545,2011,27,18677,309
1547,2012,27,18096,306
1548,2014,21,6445,281
1550,NULL,1,60,19
1551,2012,23,15981,304
1555,2011,24,19926,305
1556,2013,24,20379,294
1558,2011,20,7370,309
1560,2013,27,13023,306
1562,2011,27,17391,299
1564,2013,32,16113,308
1565,2014,18,16948,291
1567,2013,28,24601,308
1568,NULL,1,697,202
1570,NULL,20,4856,293
1574,NULL,20,8337,315
1576,2013,31,23820,308
1580,2014,24,19983,294
1583,2012,27,18716,310
1586,NULL,1,14,4
1589,2014,13,9545,275
1590,2013,40,15863,300
1598,2014,20,16524,296
1600,2012,28,22399,310
1609,2013,17,12789,310
1611,2012,22,13375,304
1614,NULL,2,70,33
1647,NULL,1,129,55
1654,NULL,1,2,1
1659,NULL,1,63,29
1661,NULL,1,2818,317
1662,NULL,9,436,130
1666,NULL,2,126,32
1669,NULL,5,876,158
1671,2014,33,27562,294
1677,2014,18,15361,285
1678,NULL,2,159,27
1679,2011,34,14380,292
1681,NULL,2,310,32
1683,NULL,1,572,147
1690,NULL,8,150,32
1698,NULL,5,3230,292
1699,2012,23,10992,309
1702,2011,24,12467,309
1703,NULL,17,11149,309
1704,NULL,11,584,48
1705,NULL,7,848,106
1708,NULL,11,1982,284
1709,NULL,9,3223,266
1710,2011,18,11849,302
1711,NULL,2,474,131
1713,NULL,2,105,42
1714,2012,14,10744,303
1715,2012,15,7447,307
1716,NULL,16,14357,296
1717,2012,16,8941,302
1718,2014,18,14707,284
1719,2011,15,3730,296
1720,2012,24,17275,307
1721,2013,36,21578,299
1722,2013,16,13323,310
1723,2012,25,19445,304
1724,NULL,3,1636,263
1725,2014,19,13376,284
1727,NULL,7,575,147
1728,2011,15,5983,269
1729,2013,20,12189,295
1731,2013,26,25395,312
1733,NULL,6,1673,241
1735,2013,42,18603,313
1736,2014,23,12551,287
1737,NULL,7,1727,218
1738,2014,18,14584,282
1739,2014,20,9499,281
1740,2014,23,18553,288
1741,2014,26,20906,286
1742,NULL,2,1629,217
